OBJECT_ID	SA2022	Factor
B09622	A037123004/037123005	0.8715
B09620	A037123002/037123003	0.8485
B09621	A037123001	0.8764
B17934	A037124001	0.9307
B17928	A037124002	1.0343
B18068	A037125001	0.7958
B17945	A037126001	1.0663
B17495	A037127001	0.8005
B07915	A037128003	1.2271
B07817	A037128002	0.9303
B07816	A037128005	0.9244
B07818	A037128004	0.8951
B07914	A037128001	0.7664
B07916	A037128007/037128006	0.7197
B17781	A037129001	0.8663
B17668	A037131002	0.7923
B17667	A037131001	0.7818
B15794	A037131003	0.7437
B18075	A037132001	0.8432
B17935	A037133001	0.8727
B13026	A037134002	0.813
B13024	A037134004/01	0.7756
B13025	A037134005	0.7749
B14917	A037134004/02	0.7487
B12996	A037134001	0.7611
B12997	A037134003	0.7255
B17927	A037135001	1.1336
B17401	A037135002/037135003	0.9232
B17920	A037136001	0.8489
B18072	A037137001	0.7757
B17660	A037138001	0.8383
B17744	A037139001	0.9047
B07290	A037140001/02	0.8135
B05096	A037140001/01	0.7444
B07289	A037140002	0.7441
B17783	A037141002	0.8495
B17655	A037141003	0.818
B17782	A037141001	0.8139
B12954	A037142005	0.8974
B12956	A037142002	0.8927
B14950	A037142004	0.9229
B12955	A037142001	0.858
B13018	A037142003	0.8396
B13019	A037142006	0.8074
B13003	A037143004	1.1714
B12999	A037143007	1.0435
